,,,,,,,,,,,,,,,,,,,
,Long Form Videos - Equal Duration Comparison,,,,,,,,,,,,,,,,,,
,"Comparing equal time periods before vs. after treatment date (e.g., 10 days before vs. 10 days after)",,,,,,,,,,,,,,,,,,
,Long form,Equal Durations Metrics,,,,,,,,,,,,,,,,,
,Video Title,Publish Date,Treatment Date,Extraction Date,Equal Before Impressions,Equal After Impressions,Change,Equal Before Views,Equal After Views,Change,Equal Before CTR,Equal After CTR,Change,Equal Before AWT,Equal After AWT,Change,Equal Before Retention,Equal After Retention,Change
,The Conflict of Interest They Don't Teach at Work (But Should!),23.08.2025,15.09.2025,04.11.2025,"12,859",169,"-12,690.00",136,23,-113,0.60%,7.70%,7.10%,0:03:02,0:03:14,0:00:12,51.40%,28.40%,-23.00%
,Why Smart People Write Dumb Emails,12.08.2025,15.09.2025,04.11.2025,"2,237",133,"-2,104.00",203,26,-177,2.70%,7.50%,4.80%,0:03:00,0:02:09,-0:00:51,48.90%,33.40%,-15.50%
,Why Strategy Meetings Never Work,01.08.2025,15.09.2025,04.11.2025,"2,705",496,"-2,209.00",242,12,-230,3.30%,1.60%,-1.70%,0:03:51,0:03:59,0:00:08,53.10%,41.80%,-11.30%
,6 Characters Who Ruin Every Meeting,23.07.2025,15.09.2025,04.11.2025,362,348,-14.00,28,11,-17,3.60%,2.30%,-1.30%,0:02:05,0:02:08,0:00:03,22.50%,18%,-4.50%
,Your Interview Answers Don't Matter- Here's Why,11.07.2025,15.09.2025,04.11.2025,339,319,-20.00,29,9,-20,3.80%,2.20%,-1.60%,0:03:01,0:01:00,-0:02:01,37%,N/A,N/A
,The Real Reason Nothing Gets Done at Work,24.06.2025,15.09.2025,04.11.2025,218,284,66.00,10,11,1,2.80%,3.50%,0.70%,0:01:02,0:01:20,0:00:18,N/A,N/A,N/A
,Work-Life Balance? More Like Corporate Hypocrisy,13.06.2025,15.09.2025,04.11.2025,191,295,104.00,19,16,-3,2.60%,5.10%,2.50%,0:03:36,0:03:06,-0:00:30,33.40%,19.70%,-13.70%
,How Not to Be a Humble Leader,04.06.2025,15.09.2025,04.11.2025,143,260,117.00,13,10,-3,4.20%,2.70%,-1.50%,0:02:06,0:02:47,0:00:41,30.90%,N/A,N/A
,How to Answer the Most Hated Interview Question,23.05.2025,15.09.2025,04.11.2025,277,278,1.00,39,18,-21,7.60%,5.00%,-2.60%,0:01:45,0:03:00,0:01:15,38.60%,38.60%,0.00%
,Why Do Corporate People Talk Like This?,13.05.2025,15.09.2025,04.11.2025,48,73,25.00,18,24,6,16.70%,21.90%,5.20%,0:01:33,0:02:12,0:00:39,44.50%,30.90%,-13.60%
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Long Form Videos - Lifetime Comparison,,,,,,,,,,,,,,,,,,
,"Metrics from video publish date to treatment vs. video publish date to extraction date (Nov 4, 2025)",,,,,,,,,,,,,,,,,,
,Long form,Lifetime Durations Metrics,,,,,,,,,,,,,,,,,
,Video Title,Publish Date,Treatment Date,Extraction Date,Lifetime Before Impressions,Lifetime After Impressions,Change,Lifetime Before Views,Lifetime After Views,Change,Lifetime Before CTR,Lifetime After CTR,Change,Lifetime Before AWT,Lifetime After AWT,Change,Lifetime Before Retention,Lifetime After Retention,Change
,The Conflict of Interest They Don't Teach at Work (But Should!),23.08.2025,15.09.2025,04.11.2025,"12,891","13,833",7.31%,138,176,38.00,0.60%,0.80%,0.20%,0:03:06,0:02:49,-0:00:17,51.40%,45.40%,-6.00%
,Why Smart People Write Dumb Emails,12.08.2025,15.09.2025,04.11.2025,"2,254","2,806",24.49%,206,234,28.00,2.80%,2.60%,-0.20%,0:02:58,0:03:03,0:00:05,48.90%,47.10%,-1.80%
,Why Strategy Meetings Never Work,01.08.2025,15.09.2025,04.11.2025,"2,725","3,207",17.69%,242,254,12.00,3.20%,3.00%,-0.20%,0:03:51,0:03:51,0:00:00,53.10%,52.30%,-0.80%
,6 Characters Who Ruin Every Meeting,23.07.2025,15.09.2025,04.11.2025,"1,582","1,917",21.18%,78,89,11.00,2.30%,2.40%,0.10%,0:03:41,0:03:30,-0:00:11,36.60%,34.70%,-1.90%
,Your Interview Answers Don't Matter- Here's Why,11.07.2025,15.09.2025,04.11.2025,"1,099","1,406",27.93%,94,103,9.00,3.90%,3.60%,-0.30%,0:03:50,0:03:35,-0:00:15,43.10%,41.10%,-2.00%
,The Real Reason Nothing Gets Done at Work,24.06.2025,15.09.2025,04.11.2025,"3,056","3,331",9.00%,220,229,9.00,5.40%,5.20%,-0.20%,0:02:07,0:02:06,-0:00:01,31.60%,32.10%,0.50%
,Work-Life Balance? More Like Corporate Hypocrisy,13.06.2025,15.09.2025,04.11.2025,"2,767","3,050",10.23%,247,261,14.00,5.50%,5.40%,-0.10%,0:03:49,0:03:48,-0:00:01,48%,47.10%,-0.90%
,How Not to Be a Humble Leader,04.06.2025,15.09.2025,04.11.2025,"3,124","3,373",7.97%,441,449,8.00,4.70%,4.50%,-0.20%,0:03:14,0:03:14,0:00:00,48%,47.10%,-0.90%
,How to Answer the Most Hated Interview Question,23.05.2025,15.09.2025,04.11.2025,"11,276","11,544",2.38%,"3,673","3,691",18.00,4.40%,4.40%,0.00%,0:01:03,0:01:04,0:00:01,33.40%,33.40%,0.00%
,Why Do Corporate People Talk Like This?,13.05.2025,15.09.2025,04.11.2025,"2,814","2,884",2.49%,572,594,22.00,5.50%,5.90%,0.40%,0:03:03,0:03:01,-0:00:02,53.10%,52.30%,-0.80%
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Shorts - Equal Duration Comparison,,,,,,,,,,,,,,,,,,
,"Comparing equal time periods before vs. after treatment date (e.g., 10 days before vs. 10 days after)",,,,,,,,,,,,,,,,,,
,Shorts,Equal Durations Metrics,,,,,,,,,,,,,,,,,
,Video Title,Publish Date,Treatment Date,Extraction Date,Equal Before Impressions,Equal After Impressions,Change,Equal Before Views,Equal After Views,Change,Equal Before CTR,Equal After CTR,Change,Equal Before AWT,Equal After AWT,Change,Equal Before Retention,Equal After Retention,Change
,It's Not a Food Choice Anymore! Now It's a Corporate Crisis!,29.08.2025,09.09.2025,04.11.2025,122,61,-61.00,"1,148",7,"-1,141",15.60%,4.90%,-10.70%,0:00:18,0:00:39,0:00:21,103.70%,N/A,N/A
,This Office Quiz Will Break Your Brain!,27.08.2025,09.09.2025,04.11.2025,75,50,-25.00,293,7,-286,12.00%,4.00%,-8.00%,0:00:25,0:00:05,-0:00:20,105.40%,N/A,N/A
,Learn How to Be Funny at the Workplace!,27.08.2025,09.09.2025,04.11.2025,97,137,40.00,945,15,-930,8.30%,5.80%,-2.50%,0:00:24,0:00:27,0:00:03,25.70%,36%,10.30%
,When Conflict of Interest Turns into Comedy Gold,25.08.2025,09.09.2025,04.11.2025,81,63,-18.00,"1,074",8,"-1,066",8.60%,3.20%,-5.40%,0:00:15,0:00:27,0:00:12,102%,N/A,N/A
,How To Write The Perfectly Useless Email,20.08.2025,09.09.2025,04.11.2025,138,69,-69.00,"1,055",10,"-1,045",5.10%,2.90%,-2.20%,0:00:29,0:00:18,-0:00:11,125.40%,N/A,N/A
,How To Look Busy Without Being Busy,18.08.2025,09.09.2025,04.11.2025,129,81,-48.00,"1,320",9,"-1,311",3.90%,1.20%,-2.70%,0:00:24,0:00:14,-0:00:10,106.30%,N/A,N/A
,Spam or Scam? The Truth About Workplace Emails,14.08.2025,09.09.2025,04.11.2025,244,142,-102.00,932,12,-920,3.70%,2.10%,-1.60%,0:00:24,0:00:31,0:00:07,102.90%,N/A,N/A
,How to Criticize Without Getting Fired,08.08.2025,09.09.2025,04.11.2025,192,75,-117.00,"1,731",20,"-1,711",1.60%,4.00%,2.40%,0:00:18,0:00:20,0:00:02,102.90%,N/A,N/A
,The Perfect Plan to Survive Boring Meetings,06.08.2025,09.09.2025,04.11.2025,182,73,-109.00,665,8,-657,1.70%,0%,-1.70%,0:00:22,0:00:28,0:00:06,105.40%,N/A,N/A
,The Meeting Hack Every Employee Should Know,04.08.2025,09.09.2025,04.11.2025,118,52,-66.00,515,11,-504,2.50%,0%,-2.50%,0:00:31,0:00:26,-0:00:05,110.60%,N/A,N/A
,What Happens When You're Physically Present but Mentally on Vacation,30.07.2025,10.09.2025,04.11.2025,157,42,-115.00,"1,476",6,"-1,470",5.10%,2.40%,-2.70%,0:00:21,0:00:15,-0:00:06,27.40%,N/A,N/A
,When One Person Hijacks the Whole Meeting,28.07.2025,10.09.2025,04.11.2025,168,34,-134.00,233,3,-230,3.00%,0%,-3.00%,0:00:18,0:00:18,0:00:00,18.90%,N/A,N/A
,The Deadly Side of Being Almost Right,25.07.2025,10.09.2025,04.11.2025,182,43,-139.00,"1,322",6,"-1,316",6.00%,2.30%,-3.70%,0:00:23,0:00:14,-0:00:09,29.10%,N/A,N/A
,Why Do Meetings Sound Like a Loop?,03.07.2025,10.09.2025,04.11.2025,133,53,-80.00,17,7,-10,3.00%,0%,-3.00%,0:00:30,0:00:09,-0:00:21,N/A,N/A,N/A
,Weekly Meetings Survival Secrets Revealed,02.07.2025,10.09.2025,04.11.2025,120,56,-64.00,13,10,-3,2.50%,1.80%,-0.70%,0:00:23,0:00:31,0:00:08,N/A,N/A,N/A
,The Boldest Success Mantra You'll Hear,30.06.2025,10.09.2025,04.11.2025,136,75,-61.00,22,12,-10,4.40%,4.00%,-0.40%,0:00:22,0:00:10,-0:00:12,106.30%,N/A,N/A
,Work-Life Balance? What's That?,20.06.2025,10.09.2025,04.11.2025,121,130,9.00,16,16,0,2.50%,0.80%,-1.70%,0:00:24,0:00:12,-0:00:12,90%,N/A,N/A
,"Work-Life Balance, Explained Mathematically",18.06.2025,10.09.2025,04.11.2025,365,81,-284.00,20,6,-14,1.10%,1.20%,0.10%,0:00:26,0:00:22,-0:00:04,100.30%,N/A,N/A
,The Truth About Humblebrags on LinkedIn,16.06.2025,10.09.2025,04.11.2025,149,124,-25.00,16,18,2,2.00%,6.50%,4.50%,0:00:31,0:00:21,-0:00:10,100.30%,92.60%,-7.70%
,The Most Underrated Leadership Answer Ever,10.06.2025,10.09.2025,04.11.2025,90,50,-40.00,13,9,-4,1.10%,4.00%,2.90%,0:00:34,0:00:09,-0:00:25,N/A,N/A,N/A
,Mahatma Gandhi's Witty Take on Modesty Will Surprise You,06.06.2025,10.09.2025,04.11.2025,90,46,-44.00,12,3,-9,0%,2.20%,2.20%,0:00:20,0:00:17,-0:00:03,N/A,N/A,N/A
,Why Being Too Honest in Job Interviews Can Get You Rejected.,27.05.2025,10.09.2025,04.11.2025,229,112,-117.00,34,12,-22,6.10%,0.90%,-5.20%,0:00:25,0:00:47,0:00:22,95.10%,N/A,N/A
,What's The Real Reason HR Asks This One Question?,27.05.2025,10.09.2025,04.11.2025,117,73,-44.00,10,11,1,3.40%,4.10%,0.70%,0:00:39,0:00:10,-0:00:29,N/A,N/A,N/A
,Corporate Jargon 101: How to Sound Smarter Instantly,16.05.2025,11.09.2025,04.11.2025,67,40,-27.00,7,6,-1,1.50%,2.50%,1.00%,0:00:30,0:00:17,-0:00:13,N/A,N/A,N/A
,How to Sound Smart (Even When You're Not),15.05.2025,11.09.2025,04.11.2025,56,34,-22.00,4,4,0,1.80%,0%,-1.80%,0:00:57,0:00:04,-0:00:53,N/A,N/A,N/A
,The Weirdest Business Term You'll Hear Today,14.05.2025,11.09.2025,04.11.2025,80,41,-39.00,7,4,-3,1.30%,0%,-1.30%,0:00:25,0:00:04,-0:00:21,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Shorts - Lifetime Comparison,,,,,,,,,,,,,,,,,,
,"Metrics from video publish date to treatment vs. video publish date to extraction date (Nov 4, 2025)",,,,,,,,,,,,,,,,,,
,Shorts,Lifetime Durations Metrics,,,,,,,,,,,,,,,,,
,Video Title,Publish Date,Treatment Date,Extraction Date,Lifetime Before Impressions,Lifetime After Impressions,Change,Lifetime Before Views,Lifetime After Views,Change,Lifetime Before CTR,Lifetime After CTR,Change,Lifetime Before AWT,Lifetime After AWT,Change,Lifetime Before Retention,Lifetime After Retention,Change
,It's Not a Food Choice Anymore! Now It's a Corporate Crisis!,29.08.2025,09.09.2025,04.11.2025,151,340,189,"1,155","1,186",31.00,14.60%,8.20%,-6.40%,0:00:18,0:00:18,0:00:00,103.70%,102.90%,-0.80%
,This Office Quiz Will Break Your Brain!,27.08.2025,09.09.2025,04.11.2025,104,266,162,297,320,23.00,10.60%,5.60%,-5.00%,0:00:24,0:00:25,0:00:01,105.40%,104.60%,-0.80%
,Learn How to Be Funny at the Workplace!,27.08.2025,09.09.2025,04.11.2025,110,550,440,952,"1,002",50.00,10.00%,5.10%,-4.90%,0:00:24,0:00:25,0:00:01,25.70%,27.40%,1.70%
,When Conflict of Interest Turns into Comedy Gold,25.08.2025,09.09.2025,04.11.2025,117,259,142,"1,079","1,095",16.00,7.70%,3.50%,-4.20%,0:00:15,0:00:15,0:00:00,102.90%,102.90%,0.00%
,How To Write The Perfectly Useless Email,20.08.2025,09.09.2025,04.11.2025,174,308,134,"1,060","1,078",18.00,5.20%,3.90%,-1.30%,0:00:28,0:00:28,0:00:00,125.40%,125.40%,0.00%
,How To Look Busy Without Being Busy,18.08.2025,09.09.2025,04.11.2025,166,326,160,"1,324","1,339",15.00,3.60%,2.20%,-1.40%,0:00:24,0:00:24,0:00:00,106.30%,106.30%,0.00%
,Spam or Scam? The Truth About Workplace Emails,14.08.2025,09.09.2025,04.11.2025,289,529,240,936,955,19.00,3.50%,2.50%,-1.00%,0:00:24,0:00:24,0:00:00,102.90%,102.90%,0.00%
,How to Criticize Without Getting Fired,08.08.2025,09.09.2025,04.11.2025,224,326,102,"1,738","1,765",27.00,2.20%,3.10%,0.90%,0:00:18,0:00:18,0:00:00,102.90%,102.90%,0.00%
,The Perfect Plan to Survive Boring Meetings,06.08.2025,09.09.2025,04.11.2025,211,301,90,670,681,11.00,1.40%,1.00%,-0.40%,0:00:22,0:00:22,0:00:00,105.40%,105.40%,0.00%
,The Meeting Hack Every Employee Should Know,04.08.2025,09.09.2025,04.11.2025,137,213,76,522,529,7.00,2.20%,1.40%,-0.80%,0:00:31,0:00:30,-0:00:01,111.40%,111.40%,0.00%
,What Happens When You're Physically Present but Mentally on Vacation,30.07.2025,10.09.2025,04.11.2025,159,244,85,"1,478","1,490",12.00,5.00%,4.50%,-0.50%,0:00:21,0:00:21,0:00:00,27.40%,27.40%,0.00%
,When One Person Hijacks the Whole Meeting,28.07.2025,10.09.2025,04.11.2025,170,234,64,234,241,7.00,2.90%,3.00%,0.10%,0:00:18,0:00:18,0:00:00,18.90%,20.60%,1.70%
,The Deadly Side of Being Almost Right,25.07.2025,10.09.2025,04.11.2025,184,238,54,"1,323","1,328",5.00,6.00%,5.00%,-1.00%,0:00:23,0:00:23,0:00:00,29.10%,29.10%,0.00%
,Why Do Meetings Sound Like a Loop?,03.07.2025,10.09.2025,04.11.2025,254,304,50,573,578,5.00,5.90%,4.90%,-1.00%,0:00:28,0:00:28,0:00:00,109.70%,109.70%,0.00%
,Weekly Meetings Survival Secrets Revealed,02.07.2025,10.09.2025,04.11.2025,257,311,54,183,191,8.00,4.30%,3.90%,-0.40%,0:00:26,0:00:26,0:00:00,103.70%,105.40%,1.70%
,The Boldest Success Mantra You'll Hear,30.06.2025,10.09.2025,04.11.2025,290,363,73,"1,185","1,195",10.00,9.70%,8.50%,-1.20%,0:00:19,0:00:19,0:00:00,103.70%,102.90%,-0.80%
,Work-Life Balance? What's That?,20.06.2025,10.09.2025,04.11.2025,376,504,128,"2,053","2,068",15.00,4.00%,3.20%,-0.80%,0:00:33,0:00:33,0:00:00,50.60%,50.60%,0.00%
,"Work-Life Balance, Explained Mathematically",18.06.2025,10.09.2025,04.11.2025,650,726,76,"1,082","1,087",5.00,2.00%,1.90%,-0.10%,0:00:32,0:00:32,0:00:00,122.10%,121.10%,-1.00%
,The Truth About Humblebrags on LinkedIn,16.06.2025,10.09.2025,04.11.2025,397,518,121,"1,328","1,342",14.00,5.80%,5.80%,0.00%,0:00:24,0:00:24,0:00:00,106.30%,106.30%,0.00%
,The Most Underrated Leadership Answer Ever,10.06.2025,10.09.2025,04.11.2025,362,411,49,974,980,6.00,3.90%,3.90%,0.00%,0:00:15,0:00:15,0:00:00,105.40%,105.40%,0.00%
,Mahatma Gandhi's Witty Take on Modesty Will Surprise You,06.06.2025,10.09.2025,04.11.2025,386,432,46,"1,233","1,236",3.00,3.40%,3.20%,-0.20%,0:00:23,0:00:23,0:00:00,103.70%,103.70%,0.00%
,Why Being Too Honest in Job Interviews Can Get You Rejected.,27.05.2025,10.09.2025,04.11.2025,"1,392","1,504",112,"10,035","10,046",11.00,3.70%,3.50%,-0.20%,0:00:29,0:00:29,0:00:00,46.30%,46.30%,0.00%
,What's The Real Reason HR Asks This One Question?,27.05.2025,10.09.2025,04.11.2025,456,528,72,"1,865","1,875",10.00,5.90%,5.70%,-0.20%,0:00:26,0:00:26,0:00:00,36.90%,36%,-1%
,Corporate Jargon 101: How to Sound Smarter Instantly,16.05.2025,11.09.2025,04.11.2025,302,342,40,144,150,6.00,3.60%,3.50%,-0.10%,0:00:36,0:00:35,-0:00:01,122.10%,120%,-2%
,How to Sound Smart (Even When You're Not),15.05.2025,11.09.2025,04.11.2025,301,335,34,346,350,4.00,2.30%,2.10%,-0.20%,0:00:22,0:00:22,0:00:00,108.90%,108.90%,0.00%
,The Weirdest Business Term You'll Hear Today,14.05.2025,11.09.2025,04.11.2025,347,387,40,378,382,4.00,5.20%,4.70%,-0.50%,0:01:30,0:01:29,-0:00:01,N/A,N/A,N/A